source,target,line,line_color,distance_km,time_min,type
Rithala,Rohini West,Red Line,#E31E24,1.0,3.0,track
Rohini West,Rohini East,Red Line,#E31E24,1.26,3.5,track
Rohini East,Pitampura,Red Line,#E31E24,1.14,3.3,track
Pitampura,Kohat Enclave,Red Line,#E31E24,0.98,3.0,track
Kohat Enclave,Netaji Subhash Place,Red Line,#E31E24,0.95,2.9,track
Netaji Subhash Place,Keshav Puram,Red Line,#E31E24,1.05,3.1,track
Keshav Puram,Kanhaiya Nagar,Red Line,#E31E24,1.03,3.1,track
Kanhaiya Nagar,Inderlok,Red Line,#E31E24,1.1,3.2,track
Inderlok,Shastri Nagar,Red Line,#E31E24,1.18,3.3,track
Shastri Nagar,Pratap Nagar,Red Line,#E31E24,1.38,3.7,track
Pratap Nagar,Pul Bangash,Red Line,#E31E24,0.81,2.7,track
Pul Bangash,Tis Hazari,Red Line,#E31E24,1.29,3.5,track
Tis Hazari,Kashmere Gate,Red Line,#E31E24,1.15,3.3,track
Kashmere Gate,Shastri Park,Red Line,#E31E24,2.17,5.1,track
Shastri Park,Seelampur,Red Line,#E31E24,1.53,4.0,track
Seelampur,Welcome,Red Line,#E31E24,1.14,3.3,track
Welcome,Shahdara,Red Line,#E31E24,1.16,3.3,track
Shahdara,Mansarovar Park,Red Line,#E31E24,1.26,3.5,track
Mansarovar Park,Jhilmil,Red Line,#E31E24,1.12,3.2,track
Jhilmil,Dilshad Garden,Red Line,#E31E24,1.13,3.2,track
Dilshad Garden,Shaheed Nagar,Red Line,#E31E24,1.23,3.4,track
Shaheed Nagar,Raj Bagh,Red Line,#E31E24,1.12,3.2,track
Raj Bagh,Major Mohit Sharma,Red Line,#E31E24,1.21,3.4,track
Major Mohit Sharma,Shyam Park,Red Line,#E31E24,1.3,3.5,track
Shyam Park,Mohan Nagar,Red Line,#E31E24,1.31,3.6,track
Mohan Nagar,Arthala,Red Line,#E31E24,1.41,3.7,track
Arthala,Hindon River,Red Line,#E31E24,1.31,3.6,track
Hindon River,Shaheed Sthal,Red Line,#E31E24,1.22,3.4,track
Samaypur Badli,Rohini Sector 18,Yellow Line,#FFD200,0.81,2.7,track
Rohini Sector 18,Haiderpur Badli Mor,Yellow Line,#FFD200,1.4,3.7,track
Haiderpur Badli Mor,Jahangirpuri,Yellow Line,#FFD200,1.18,3.3,track
Jahangirpuri,Adarsh Nagar,Yellow Line,#FFD200,1.34,3.6,track
Adarsh Nagar,Azadpur,Yellow Line,#FFD200,1.42,3.8,track
Azadpur,Model Town,Yellow Line,#FFD200,1.47,3.8,track
Model Town,Guru Tegh Bahadur Nagar,Yellow Line,#FFD200,1.29,3.5,track
Guru Tegh Bahadur Nagar,Vishwa Vidyalaya,Yellow Line,#FFD200,0.82,2.7,track
